,0
2010-08-26,-0.020051449460257907
2010-08-27,0.008336368144404459
2010-08-30,-0.024937852215008115
2010-08-31,-0.014360168777763454
2010-09-01,0.031060129333354614
2010-09-02,0.01519205336497726
2010-09-03,0.021656069076019642
2010-09-06,0.00204339853726713
2010-09-07,-0.028038918136733045
2010-09-08,-0.0020904514899953543
2010-09-09,0.009811866869052577
2010-09-10,0.006358044136417034
2010-09-13,0.019484302560006904
2010-09-14,0.0043120432800503525
2010-09-15,0.004140500043279368
2010-09-16,-0.0064487371726184945
2010-09-17,0.002862972653144629
2010-09-20,0.014044556718145793
2010-09-21,-0.008941587751997966
2010-09-22,-0.0038078008923833023
2010-09-23,-0.007027126385495165
2010-09-24,0.04070701586529288
2010-09-27,-0.01874547993454615
2010-09-28,0.0034978955150361335
